Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,AN.T.W_dark,AN.T.W_light,CHI.P77_dark,CHI.P77_light,Emett64_dark,Emett64_light,Emett97_dark,Emett97_light,KAB.10_dark,KAB.10_light,LW_SCC_SI_dark,LW_SCC_SI_light,MT.M.P17_dark,MT.M.P17_light,NAM.2_dark,NAM.2_light
g6532,3961.57007,4.493599579,0.439649986,10.22085687,1.60E-24,9.53E-22,89.36452709,9592.94958,314.8392029,5082.408548,392.13256,5662.238263,236.6392449,1830.158215,949.0387436,10761.82893,93.18296732,11370.66838,395.8775507,7760.740036,223.9060634,8629.148314
g6533,2937.165589,4.956994628,0.622585826,7.961945846,1.69E-15,3.06E-13,12.38716217,7683.677919,251.5381991,4311.935138,131.1193248,3046.852659,25.21565724,899.4317761,422.1702596,6570.991676,33.06492389,8519.435349,518.2778535,7735.520497,71.96980608,6761.061221
g6534,23279.03626,2.948981164,0.557500799,5.289644729,1.23E-07,5.09E-06,1812.064866,40280.09933,5530.508749,20124.50815,9146.491963,38855.55087,199.785592,4404.433955,12220.42178,63583.81772,5178.417966,42717.09985,4397.318307,33287.49914,4219.563075,86506.99889
g6535,10632.25144,2.64210094,0.381065092,6.933463591,4.11E-12,4.62E-10,3049.896286,24221.63956,3774.738803,13448.26315,1742.539064,10358.27661,946.5569795,3084.26283,3719.601434,23333.26418,4841.756923,24430.04989,3559.400805,19855.8018,1853.888894,27896.08578
g6536,8363.930861,2.434856885,0.426580244,5.707851974,1.14E-08,6.47E-07,4705.35203,21943.5203,2983.476256,11092.52998,1624.899296,7296.087441,543.1064636,2919.676088,2336.00877,14081.77295,3133.653014,18236.47015,4595.257082,19343.38661,963.595737,18024.1016
g6537,19359.64974,3.394960753,0.392010139,8.660390166,4.70E-18,1.29E-15,2560.60338,38345.59073,3826.379095,17877.41316,3320.872618,19034.64965,988.2597972,8200.360588,7259.076891,51285.81495,2304.77549,39931.9469,3888.133047,44274.04751,2742.849276,63913.62271
g6538,1945.083548,1.9002716,0.269052485,7.06282865,1.63E-12,2.07E-10,798.0871627,4126.239873,689.6477777,2230.656318,433.7966446,2628.677244,1024.143617,1596.027778,898.3783125,4377.072765,967.1490237,3233.029042,1374.380543,2988.515402,386.5045142,3369.030759
g6539,15944.31064,1.190109348,0.671981591,1.771044571,0.07655329,0.241602184,3769.236489,25227.2346,11249.25469,17704.44975,1373.689374,10144.58795,428.6661731,3196.691802,4415.338022,29430.59329,28337.39125,42256.17091,27085.43843,26803.78486,1076.881543,22609.56116
